key,status,file_defined,line_defined,family,first_usage_location
AcceuilChangeToggle,USED,DefaultControls\ToggleButton.xaml,1351,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:5016
AcceuilOrNot,USED,Constants.xaml,30,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Constants.xaml:384
AchievementsWindowStyle,UNUSED?,Views\Main.xaml,4833,,
ActionSelectionBorder,UNUSED?,Views\ActionSelection.xaml,55,,
ActionSelectionButton,UNUSED?,Views\ActionSelection.xaml,5,,
ActionSelectionHeaderText,UNUSED?,Views\ActionSelection.xaml,65,,
AgeRatingOnMainScreen,USED,Constants.xaml,27,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Themes Option\4.IntroVideo\Nope\Main.xaml:1397
AltInfo,UNUSED?,Constants.xaml,40,,
Alternativ,UNUSED?,Constants.xaml,45,,
AlternativeButtonBrush,USED,Constants.xaml,100,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\DefaultControls\Button.xaml:206
AlternativeButtonColor,USED,Constants.xaml,74,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Constants.xaml:100
AnimatedBorderBrush,USED,Constants.xaml,320,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\CustomControls\FilterPresetSelector.xaml:30
AnimatedCoverBrush,UNUSED?,Images\Interface\1-Default\Constants.xaml,280,,
AnimatedFlashConnexion,USED,Constants.xaml,355,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:2683
AnimatedFlashCover,UNUSED?,Images\Interface\1-Default\Constants.xaml,421,,
AnimatedFlashFocus,USED,Constants.xaml,391,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\DerivedStyles\ListGameItemStyle.xaml:205
AnimatedFlashMenu,USED,Constants.xaml,455,,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\DefaultControls\CheckBox.xaml:19
AnimationBackground,UNUSED?,Constants.xaml,46,,
Avatar0,USED,Constants.xaml,743,Avatar,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:4804
Avatar1,USED,Constants.xaml,705,Avatar,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1731
Avatar10,USED,Constants.xaml,714,Avatar1,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1761
Avatar11,USED,Constants.xaml,715,Avatar1,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1764
Avatar12,USED,Constants.xaml,716,Avatar1,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1767
Avatar13,USED,Constants.xaml,717,Avatar1,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1770
Avatar14,USED,Constants.xaml,718,Avatar1,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1773
Avatar15,USED,Constants.xaml,719,Avatar1,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1776
Avatar16,USED,Constants.xaml,720,Avatar1,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1779
Avatar17,USED,Constants.xaml,721,Avatar1,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1782
Avatar18,USED,Constants.xaml,722,Avatar1,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1785
Avatar19,USED,Constants.xaml,723,Avatar1,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1788
Avatar2,USED,Constants.xaml,706,Avatar,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1737
Avatar20,USED,Constants.xaml,724,Avatar2,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1791
Avatar21,USED,Constants.xaml,725,Avatar2,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1794
Avatar22,USED,Constants.xaml,726,Avatar2,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1797
Avatar23,USED,Constants.xaml,727,Avatar2,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1800
Avatar24,USED,Constants.xaml,728,Avatar2,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1803
Avatar25,USED,Constants.xaml,729,Avatar2,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1806
Avatar26,USED,Constants.xaml,730,Avatar2,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1809
Avatar27,USED,Constants.xaml,731,Avatar2,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1812
Avatar28,USED,Constants.xaml,732,Avatar2,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1815
Avatar29,USED,Constants.xaml,733,Avatar2,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1818
Avatar3,USED,Constants.xaml,707,Avatar,xaml:C:\Users\Mike Aniki\AppData\Roaming\Playnite\Themes\Fullscreen\Aniki_ReMake_bb8728bd-ac83-4324-88b1-ee5c586527d1\Views\2Main.xaml:1740
